CódigoInstit;Código Curso;NomedaInstituição
1202;9204;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Humanas e Sociais
1202;9219;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Humanas e Sociais
1202;9238;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Humanas e Sociais
1202;9254;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Humanas e Sociais
1202;9803;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Humanas e Sociais
1202;9853;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Humanas e Sociais
1202;L092;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Humanas e Sociais
1203;8088;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências e Tecnologia
1203;9052;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências e Tecnologia
1203;9089;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências e Tecnologia
1203;9119;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências e Tecnologia
1203;9123;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências e Tecnologia
1203;9367;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências e Tecnologia
1203;9455;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências e Tecnologia
1204;9011;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências da Vida e do Ambiente
1204;9012;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências da Vida e do Ambiente
1204;9015;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências da Vida e do Ambiente
1204;9379;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências da Vida e do Ambiente
1204;9540;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências da Vida e do Ambiente
1204;9554;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências da Vida e do Ambiente
1204;9707;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências da Vida e do Ambiente
1204;9761;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências da Vida e do Ambiente
1204;9841;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências da Vida e do Ambiente
1306;9069;Universidade da Madeira - Faculdade de Artes e Humanidades
1306;9196;Universidade da Madeira - Faculdade de Artes e Humanidades
1306;9219;Universidade da Madeira - Faculdade de Artes e Humanidades
1306;9720;Universidade da Madeira - Faculdade de Artes e Humanidades
1306;9817;Universidade da Madeira - Faculdade de Artes e Humanidades
1306;L150;Universidade da Madeira - Faculdade de Artes e Humanidades
1307;9015;Universidade da Madeira - Faculdade de Ciências Exatas e da Engenharia
1307;9119;Universidade da Madeira - Faculdade de Ciências Exatas e da Engenharia
1307;A010;Universidade da Madeira - Faculdade de Ciências Exatas e da Engenharia
1307;A011;Universidade da Madeira - Faculdade de Ciências Exatas e da Engenharia
1307;A012;Universidade da Madeira - Faculdade de Ciências Exatas e da Engenharia
1308;9026;Universidade da Madeira - Faculdade de Ciências Sociais
1308;9081;Universidade da Madeira - Faculdade de Ciências Sociais
1308;9147;Universidade da Madeira - Faculdade de Ciências Sociais
1308;9736;Universidade da Madeira - Faculdade de Ciências Sociais
1308;9853;Universidade da Madeira - Faculdade de Ciências Sociais
1309;8083;Universidade da Madeira - Faculdade de Ciências da Vida
1309;9011;Universidade da Madeira - Faculdade de Ciências da Vida
1320;9500;Universidade da Madeira - Escola Superior de Saúde
1321;9076;Universidade da Madeira - Escola Superior de Tecnologias e Gestão
1501;9069;Universidade de Lisboa - Faculdade de Arquitetura
1501;9071;Universidade de Lisboa - Faculdade de Arquitetura
1501;9257;Universidade de Lisboa - Faculdade de Arquitetura
1501;G008;Universidade de Lisboa - Faculdade de Arquitetura
1502;8399;Universidade de Lisboa - Faculdade de Belas-Artes
1502;9070;Universidade de Lisboa - Faculdade de Belas-Artes
1502;9072;Universidade de Lisboa - Faculdade de Belas-Artes
1502;9754;Universidade de Lisboa - Faculdade de Belas-Artes
1502;9790;Universidade de Lisboa - Faculdade de Belas-Artes
1502;9904;Universidade de Lisboa - Faculdade de Belas-Artes
1502;L010;Universidade de Lisboa - Faculdade de Belas-Artes
1503;9011;Universidade de Lisboa - Faculdade de Ciências
1503;9015;Universidade de Lisboa - Faculdade de Ciências
1503;9119;Universidade de Lisboa - Faculdade de Ciências
1503;9141;Universidade de Lisboa - Faculdade de Ciências
1503;9146;Universidade de Lisboa - Faculdade de Ciências
1503;9209;Universidade de Lisboa - Faculdade de Ciências
1503;9212;Universidade de Lisboa - Faculdade de Ciências
1503;9223;Universidade de Lisboa - Faculdade de Ciências
1503;9226;Universidade de Lisboa - Faculdade de Ciências
1503;9368;Universidade de Lisboa - Faculdade de Ciências
1503;9381;Universidade de Lisboa - Faculdade de Ciências
1503;9385;Universidade de Lisboa - Faculdade de Ciências
1503;9811;Universidade de Lisboa - Faculdade de Ciências
1503;9845;Universidade de Lisboa - Faculdade de Ciências
1503;L079;Universidade de Lisboa - Faculdade de Ciências
1503;L096;Universidade de Lisboa - Faculdade de Ciências
1504;8358;Universidade de Lisboa - Faculdade de Direito
1504;9078;Universidade de Lisboa - Faculdade de Direito
1505;9494;Universidade de Lisboa - Faculdade de Farmácia
1506;8104;Universidade de Lisboa - Faculdade de Letras
1506;8413;Universidade de Lisboa - Faculdade de Letras
1506;8458;Universidade de Lisboa - Faculdade de Letras
1506;9006;Universidade de Lisboa - Faculdade de Letras
1506;9040;Universidade de Lisboa - Faculdade de Letras
1506;9131;Universidade de Lisboa - Faculdade de Letras
1506;9133;Universidade de Lisboa - Faculdade de Letras
1506;9135;Universidade de Lisboa - Faculdade de Letras
1506;9139;Universidade de Lisboa - Faculdade de Letras
1506;9181;Universidade de Lisboa - Faculdade de Letras
1506;9182;Universidade de Lisboa - Faculdade de Letras
1506;9204;Universidade de Lisboa - Faculdade de Letras
1506;9252;Universidade de Lisboa - Faculdade de Letras
1506;9914;Universidade de Lisboa - Faculdade de Letras
1506;9917;Universidade de Lisboa - Faculdade de Letras
1506;L097;Universidade de Lisboa - Faculdade de Letras
1506;L145;Universidade de Lisboa - Faculdade de Letras
1507;9554;Universidade de Lisboa - Faculdade de Medicina
1507;9813;Universidade de Lisboa - Faculdade de Medicina
1508;9548;Universidade de Lisboa - Faculdade de Medicina Dentária
1508;9556;Universidade de Lisboa - Faculdade de Medicina Dentária
1508;9791;Universidade de Lisboa - Faculdade de Medicina Dentária
1509;9847;Universidade de Lisboa - Faculdade de Medicina Veterinária
1510;9068;Universidade de Lisboa - Faculdade de Motricidade Humana
1510;9162;Universidade de Lisboa - Faculdade de Motricidade Humana
1510;9707;Universidade de Lisboa - Faculdade de Motricidade Humana
1510;9753;Universidade de Lisboa - Faculdade de Motricidade Humana
1510;9841;Universidade de Lisboa - Faculdade de Motricidade Humana
1511;9555;Universidade de Lisboa - Faculdade de Psicologia
1513;L040;Universidade de Lisboa - Instituto de Educação
1514;8411;Universidade de Lisboa - Instituto de Geografia e Ordenamento do Território
1514;9143;Universidade de Lisboa - Instituto de Geografia e Ordenamento do Território
1515;8258;Universidade de Lisboa - Instituto Superior de Agronomia
1515;8377;Universidade de Lisboa - Instituto Superior de Agronomia
1515;9011;Universidade de Lisboa - Instituto Superior de Agronomia
1515;9086;Universidade de Lisboa - Instituto Superior de Agronomia
1515;9087;Universidade de Lisboa - Instituto Superior de Agronomia
1515;9099;Universidade de Lisboa - Instituto Superior de Agronomia
1515;9129;Universidade de Lisboa - Instituto Superior de Agronomia
1516;8014;Universidade de Lisboa - Instituto Superior de Ciências Sociais e Políticas
1516;8102;Universidade de Lisboa - Instituto Superior de Ciências Sociais e Políticas
1516;8109;Universidade de Lisboa - Instituto Superior de Ciências Sociais e Políticas
1516;8111;Universidade de Lisboa - Instituto Superior de Ciências Sociais e Políticas
1516;8363;Universidade de Lisboa - Instituto Superior de Ciências Sociais e Políticas
1516;8364;Universidade de Lisboa - Instituto Superior de Ciências Sociais e Políticas
1516;9002;Universidade de Lisboa - Instituto Superior de Ciências Sociais e Políticas
1516;9019;Universidade de Lisboa - Instituto Superior de Ciências Sociais e Políticas
1516;9023;Universidade de Lisboa - Instituto Superior de Ciências Sociais e Políticas
1516;9157;Universidade de Lisboa - Instituto Superior de Ciências Sociais e Políticas
1516;9229;Universidade de Lisboa - Instituto Superior de Ciências Sociais e Políticas
1516;9238;Universidade de Lisboa - Instituto Superior de Ciências Sociais e Políticas
1516;9240;Universidade de Lisboa - Instituto Superior de Ciências Sociais e Políticas
1516;9448;Universidade de Lisboa - Instituto Superior de Ciências Sociais e Políticas
1517;9081;Universidade de Lisboa - Instituto Superior de Economia e Gestão
1517;9140;Universidade de Lisboa - Instituto Superior de Economia e Gestão
1517;9147;Universidade de Lisboa - Instituto Superior de Economia e Gestão
1517;9210;Universidade de Lisboa - Instituto Superior de Economia e Gestão
1517;A001;Universidade de Lisboa - Instituto Superior de Economia e Gestão
1517;A006;Universidade de Lisboa - Instituto Superior de Economia e Gestão
1518;9121;Universidade de Lisboa - Instituto Superior Técnico
1518;9257;Universidade de Lisboa - Instituto Superior Técnico
1518;9345;Universidade de Lisboa - Instituto Superior Técnico
1518;9357;Universidade de Lisboa - Instituto Superior Técnico
