Código Instit.;Código Curso;Nome da Instituição;Nome do Curso
1203;9123;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências e Tecnologia;Engenharia Mecânica
1203;9367;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências e Tecnologia;Engenharia Eletrotécnica e de Computadores
1203;9455;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências e Tecnologia;Engenharia Biomédica
1204;9011;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências da Vida e do Ambiente;Biologia
1204;9012;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências da Vida e do Ambiente;Biologia e Geologia
1204;9015;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências da Vida e do Ambiente;Bioquímica
1204;9379;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências da Vida e do Ambiente;Ciências do Ambiente
1204;9540;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências da Vida e do Ambiente;Bioengenharia
1204;9554;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências da Vida e do Ambiente;Ciências da Nutrição
1204;9707;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências da Vida e do Ambiente;Ciências do Desporto
1204;9761;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências da Vida e do Ambiente;Genética e Biotecnologia
1204;9841;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências da Vida e do Ambiente;Reabilitação Psicomotora
1306;9069;Universidade da Madeira - Faculdade de Artes e Humanidades;Design
1306;9196;Universidade da Madeira - Faculdade de Artes e Humanidades;Línguas e Relações Empresariais
1306;9219;Universidade da Madeira - Faculdade de Artes e Humanidades;Psicologia
1306;9720;Universidade da Madeira - Faculdade de Artes e Humanidades;Comunicação, Cultura e Organizações
1306;9817;Universidade da Madeira - Faculdade de Artes e Humanidades;Artes Visuais
